User,Phone no.,Password,City,Issued History,Age
Manisha,987563210,Mani36,Jaipur,"BK1, BK2, BK7, BK9, BK3",33
Akhil,988657342,ank1l,Churu,"BK2, BK6",22
Ramesh,955678432,ramu#95,Tonk,BK10,32
Mira,658749320,mulaun$2,Jaipur,"BK6, BK10,BK6,BK12",22
Kamla,8876453324,J19a,Delhi,"BK5,BK8,BK1",29
Babu,9876576587,b@b4,Jaipur,"3,BK7,BK19",23
Farah,9876875564,rije2,Delhi,"BK13,BK5",24
Anshi,8893457766,a@ns!,Tonk,"BK6,BK9,BK7",25
Rinna,5566778444,r!e@,Tonk,BK1,28
Sahil,9877066954,s@hil,Ahemdabad,"BK10,BK8",22
Sarah,7658760987,s@rr#,Jaipur,"BK2, BK6,BK21,BK23",19
Kamal,9988776645,K@m,Ganganagar,"BK5,BK9",19
Jhanvi,9857633495,jh@n,Jaipur,BK9,22
Rajat,7856630443,r@gt,Tonk,,34
Harshi,7864556533,h@rh!,Delhi,,17
Fool,7869434523,f3l0,Seoul,,17
Bellie,435267894,jkjk,Jaipur,,19
